tran_id,cust_id,tran_type,amount
1,1,sale,10
2,1,return,10
3,2,sale,8
4,2,return,8
5,3,sale,12
6,3,return,12
7,4,sale,14
8,4,return,14
9,5,sale,20
10,6,sale,21
11,7,sale,22
12,8,sale,23
13,9,sale,24
14,10,sale,25
15,1,sale,6
16,1,sale,7
17,4,sale,20
18,5,sale,21
19,6,sale,22
20,7,sale,23
21,8,sale,24
22,9,sale,25
23,10,sale,26
24,11,sale,27
25,12,sale,28
26,13,sale,29
27,14,sale,30
28,15,sale,31
29,16,sale,32
30,17,sale,33
31,13,return,29
32,14,return,30
33,15,return,31
34,16,return,32
35,17,return,33
36,8,return,32
37,9,return,32
38,18,sale,20
39,19,sale,20
40,20,sale,20
